Curve H2
81050 18
81100 18
81150 18
81200 18
81250 18
81300 18
81350 18
81400 18
81450 18
81500 18
81550 18
81600 18
81650 18
81700 18
81750 18
81800 18
81850 18
81900 18
81950 18
82000 18
82050 18
82100 18
82150 18
82200 18
82250 18
82300 18
82350 18
82400 18
82450 18
82500 18
82550 18
82600 18
82650 18
82700 18
82750 18
82800 18
82850 18
82900 18
82950 18
83000 18
83050 18
83100 18
83150 18
83200 18
83250 18
83300 18
83350 18
83400 18
83450 18
83500 18
83550 18
83600 18
83650 18
83700 18
83750 18
83800 18
83850 18
83900 18
83950 18
84000 18
84050 18
84100 18
84150 18
84200 18
84250 18
84300 18
84350 18
84400 18
84450 18
84500 18
84550 18
84600 18
84650 18
84700 18
84750 18
84800 18
84850 18
84900 18
84950 18
85000 18
85050 18
85100 18
85150 18
85200 18
85250 18
85300 17
85350 18
85400 18
85450 18
85500 18
85550 18
85600 18
85650 18
85700 18
85750 18
85800 18
85850 18
85900 18
85950 18
86000 18
86050 18
86100 18
86150 18
86200 18
86250 18
86300 18
86350 18
86400 18
86450 18
86500 18
86550 18
86600 18
86650 18
86700 18
86750 18
86800 18
86850 18
86900 18
86950 18
87000 18
87050 18
87100 18
87150 18
87200 18
87250 18
87300 18
87350 18
87400 18
87450 18
87500 18
87550 18
87600 18
87650 18
87700 18
87750 18
87800 18
87850 18
87900 18
87950 18
88000 18
88050 18
88100 18
88150 18
88200 18
88250 18
88300 18
88350 18
88400 18
88450 18
88500 18
88550 18
88600 18
88650 18
88700 18
88750 18
88800 18
88850 18
88900 18
88950 18
89000 18
89050 18
89100 18
89150 18
89200 18
89250 18
89300 18
89350 18
89400 18
89450 18
89500 18
89550 18
89600 18
89650 18
89700 18
89750 18
89800 18
89850 18
89900 18
89950 18
90000 18
90050 18
90100 18
90150 18
90200 18
90250 18
90300 18
90350 18
90400 18
90450 18
90500 18
90550 18
90600 18
90650 18
90700 18
90750 18
90800 18
90850 18
90900 18
90950 18
91000 18
91050 18
91100 18
91150 18
91200 18
91250 18
91300 18
91350 18
91400 18
91450 18
91500 18
91550 18
91600 18
91650 18
91700 18
91750 18
91800 18
91850 18
91900 18
91950 18
92000 18
92050 18
92100 18
92150 18
92200 18
92250 18
92300 18
92350 18
92400 18
92450 18
92500 18
92550 18
92600 18
92650 18
92700 18
92750 18
92800 18
92850 18
92900 18
92950 18
93000 18
93050 18
93100 18
93150 18
93200 18
93250 18
93300 18
93350 18
93400 18
93450 18
93500 18
93550 18
93600 18
93650 18
93700 18
93750 18
93800 18
93850 18
93900 18
93950 18
94000 18
94050 18
94100 18
94150 18
94200 18
94250 18
94300 18
94350 18
94400 18
94450 18
94500 18
94550 18
94600 18
94650 18
94700 18
94750 18
94800 18
94850 18
94900 18
94950 18
95000 18
95050 18
95100 18
95150 18
95200 18
95250 18
95300 18
95350 18
95400 18
95450 18
95500 18
95550 18
95600 18
95650 18
95700 18
95750 18
95800 18
95850 18
95900 18
95950 18
96000 18
96050 18
96100 18
96150 18
96200 18
96250 18
96300 18
96350 18
96400 18
96450 18
96500 18
96550 18
96600 18
96650 18
96700 18
96750 18
96800 18
96850 18
96900 18
96950 18
97000 18
97050 18
97100 18
97150 18
97200 18
97250 18
97300 18
97350 18
97400 18
97450 18
97500 18
97550 18
97600 18
97650 18
97700 18
97750 18
97800 18
97850 18
97900 18
97950 18
98000 18
98050 18
98100 18
98150 18
98200 18
98250 18
98300 18
98350 18
98400 18
98450 18
98500 18
98550 18
98600 18
98650 18
98700 18
98750 18
98800 18
98850 18
98900 18
98950 18
99000 18
99050 18
99100 18
99150 18
99200 18
99250 18
99300 18
99350 18
99400 18
99450 18
99500 18
99550 18
99600 18
99650 18
99700 18
99750 18
99800 18
99850 18
99900 18
99950 18
100000 18
100050 18
100100 18
100150 18
100200 18
100250 18
100300 19
100350 19
100400 19
100450 19
100500 19
100550 19
100600 19
100650 19
100700 19
100750 19
100800 19
100850 19
100900 19
100950 19
101000 19
101050 19
101100 19
101150 19
101200 19
101250 19
101300 19
101350 19
101400 19
101450 19
101500 19
