Curve CH4
77000 16
77050 16
77100 16
77150 16
77200 16
77250 16
77300 16
77350 16
77400 16
77450 16
77500 16
77550 16
77600 16
77650 16
77700 16
77750 16
77800 16
77850 16
77900 16
77950 16
78000 16
78050 16
78100 16
78150 16
78200 16
78250 16
78300 16
78350 16
78400 16
78450 16
78500 16
78550 16
78600 16
78650 16
78700 16
78750 16
78800 16
78850 16
78900 16
78950 16
79000 16
79050 16
79100 16
79150 16
79200 16
79250 16
79300 16
79350 16
79400 16
79450 16
79500 16
79550 16
79600 16
79650 16
79700 16
79750 16
79800 16
79850 16
79900 16
79950 16
80000 16
80050 16
80100 16
80150 16
80200 16
80250 16
80300 16
80350 16
80400 16
80450 15
80500 16
80550 16
80600 16
80650 16
80700 16
80750 16
80800 16
80850 16
80900 16
80950 16
81000 16
81050 16
81100 16
81150 16
81200 16
81250 16
81300 16
81350 16
81400 16
81450 16
81500 16
81550 16
81600 16
81650 16
81700 16
81750 16
81800 16
81850 16
81900 16
81950 16
82000 16
82050 16
82100 16
82150 16
82200 16
82250 16
82300 16
82350 16
82400 16
82450 16
82500 16
82550 16
82600 16
82650 16
82700 16
82750 16
82800 16
82850 16
82900 16
82950 16
83000 16
83050 16
83100 16
83150 16
83200 16
83250 16
83300 16
83350 16
83400 16
83450 16
83500 16
83550 16
83600 16
83650 16
83700 16
83750 16
83800 16
83850 16
83900 16
83950 16
84000 16
84050 16
84100 16
84150 16
84200 16
84250 16
84300 16
84350 16
84400 16
84450 16
84500 16
84550 16
84600 16
84650 16
84700 16
84750 16
84800 16
84850 16
84900 16
84950 16
85000 16
85050 16
85100 16
85150 16
85200 16
85250 16
85300 16
85350 16
85400 16
85450 16
85500 16
85550 16
85600 16
85650 16
85700 16
85750 16
85800 16
85850 16
85900 16
85950 16
86000 16
86050 16
86100 15
86150 16
86200 16
86250 16
86300 16
86350 16
86400 16
86450 16
86500 16
86550 16
86600 16
86650 16
86700 16
86750 16
86800 16
86850 16
86900 16
86950 16
87000 16
87050 16
87100 16
87150 16
87200 16
87250 16
87300 16
87350 16
87400 16
87450 16
87500 16
87550 16
87600 16
87650 16
87700 16
87750 16
87800 16
87850 16
87900 16
87950 16
88000 16
88050 16
88100 16
88150 16
88200 16
88250 16
88300 16
88350 16
88400 16
88450 16
88500 16
88550 16
88600 16
88650 16
88700 16
88750 16
88800 16
88850 16
88900 16
88950 16
89000 16
89050 16
89100 16
89150 16
89200 16
89250 16
89300 16
89350 16
89400 16
89450 16
89500 16
89550 16
89600 16
89650 16
89700 16
89750 16
89800 16
89850 16
89900 16
89950 16
90000 16
90050 16
90100 16
90150 16
90200 16
90250 16
90300 16
90350 16
90400 16
90450 16
90500 16
90550 16
90600 16
90650 16
90700 16
90750 16
90800 16
90850 16
90900 16
90950 16
91000 16
91050 16
91100 16
91150 16
91200 16
91250 16
91300 16
91350 16
91400 16
91450 16
91500 16
